STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
1,2023-12-01 00:00:03,2023-11-30 23:58:15,CLARENDON ROW,31,31,0,OPEN,Clarendon Row,53.3409,-6.2625
2,2023-12-01 00:00:03,2023-11-30 23:58:47,BLESSINGTON STREET,20,14,6,OPEN,Blessington Street,53.3568,-6.26814
3,2023-12-01 00:00:03,2023-11-30 23:50:47,BOLTON STREET,20,12,7,OPEN,Bolton Street,53.3512,-6.26986
4,2023-12-01 00:00:03,2023-11-30 23:50:20,GREEK STREET,20,12,8,OPEN,Greek Street,53.3469,-6.27298
5,2023-12-01 00:00:03,2023-11-30 23:55:45,CHARLEMONT PLACE,40,5,35,OPEN,Charlemont Street,53.3307,-6.26018
6,2023-12-01 00:00:03,2023-11-30 23:51:47,CHRISTCHURCH PLACE,20,13,7,OPEN,Christchurch Place,53.3434,-6.27012
7,2023-12-01 00:00:03,2023-11-30 23:58:22,HIGH STREET,29,23,6,OPEN,High Street,53.3436,-6.27507
8,2023-12-01 00:00:03,2023-11-30 23:51:53,CUSTOM HOUSE QUAY,30,2,28,OPEN,Custom House Quay,53.3479,-6.24805
9,2023-12-01 00:00:03,2023-11-30 23:58:16,EXCHEQUER STREET,24,17,7,OPEN,Exchequer Street,53.343,-6.26358
10,2023-12-01 00:00:03,2023-11-30 23:52:17,DAME STREET,16,3,13,OPEN,Dame Street,53.344,-6.2668
11,2023-12-01 00:00:03,2023-11-30 23:58:01,EARLSFORT TERRACE,30,29,1,OPEN,Earlsfort Terrace,53.3343,-6.2585
12,2023-12-01 00:00:03,2023-11-30 23:57:52,ECCLES STREET,20,16,4,OPEN,Eccles Street,53.3592,-6.26978
13,2023-12-01 00:00:03,2023-11-30 23:59:14,FITZWILLIAM SQUARE WEST,30,27,2,OPEN,Fitzwilliam Square West,53.3361,-6.25282
14,2023-12-01 00:00:03,2023-11-30 23:55:36,FOWNES STREET UPPER,30,19,11,OPEN,Fownes Street Upper,53.3446,-6.26337
15,2023-12-01 00:00:03,2023-11-30 23:54:22,HARDWICKE STREET,16,12,4,OPEN,Hardwicke Street,53.3555,-6.26442
16,2023-12-01 00:00:03,2023-11-30 23:57:46,GEORGES QUAY,20,2,18,OPEN,Georges Quay,53.3475,-6.25219
17,2023-12-01 00:00:03,2023-11-30 23:51:01,GOLDEN LANE,20,15,5,OPEN,Golden Lane,53.3408,-6.26773
18,2023-12-01 00:00:03,2023-11-30 23:57:09,GRANTHAM STREET,30,21,8,OPEN,Grantham Street,53.3341,-6.26544
19,2023-12-01 00:00:03,2023-11-30 23:51:59,HERBERT PLACE,30,30,0,OPEN,Herbert Place,53.3344,-6.24557
20,2023-12-01 00:00:03,2023-11-30 23:58:12,JAMES STREET EAST,30,29,1,OPEN,James Street East,53.3366,-6.24811
21,2023-12-01 00:00:03,2023-11-30 23:58:17,LEINSTER STREET SOUTH,30,9,21,OPEN,Leinster Street South,53.3422,-6.25449
22,2023-12-01 00:00:03,2023-11-30 23:51:04,TOWNSEND STREET,20,10,10,OPEN,Townsend Street,53.3459,-6.25461
23,2023-12-01 00:00:03,2023-11-30 23:57:08,CUSTOM HOUSE,30,4,26,OPEN,Custom House,53.3483,-6.25466
24,2023-12-01 00:00:03,2023-11-30 23:51:49,CATHAL BRUGHA STREET,20,0,20,OPEN,Cathal Brugha Street,53.3521,-6.26053
25,2023-12-01 00:00:03,2023-11-30 23:51:42,MERRION SQUARE EAST,30,13,17,OPEN,Merrion Square East,53.3394,-6.24655
26,2023-12-01 00:00:03,2023-11-30 23:58:26,MERRION SQUARE WEST,20,14,6,OPEN,Merrion Square West,53.3398,-6.25199
27,2023-12-01 00:00:03,2023-11-30 23:50:55,MOLESWORTH STREET,20,13,7,OPEN,Molesworth Street,53.3413,-6.25812
28,2023-12-01 00:00:03,2023-11-30 23:51:03,MOUNTJOY SQUARE WEST,30,16,14,OPEN,Mountjoy Square West,53.3563,-6.25859
29,2023-12-01 00:00:03,2023-11-30 23:51:25,ORMOND QUAY UPPER,29,10,18,OPEN,Ormond Quay Upper,53.3461,-6.268
30,2023-12-01 00:00:03,2023-11-30 23:51:43,PARNELL SQUARE NORTH,20,19,1,OPEN,Parnell Square North,53.3535,-6.26531
31,2023-12-01 00:00:03,2023-11-30 23:58:08,PARNELL STREET,20,10,10,OPEN,Parnell Street,53.3509,-6.26512
32,2023-12-01 00:00:03,2023-11-30 23:55:10,PEARSE STREET,30,12,18,OPEN,Pearse Street,53.3443,-6.25043
33,2023-12-01 00:00:03,2023-11-30 23:59:00,PRINCES STREET / O'CONNELL STREET,23,6,17,OPEN,Princes Street / O'Connell Street,53.349,-6.26031
34,2023-12-01 00:00:03,2023-11-30 23:52:53,PORTOBELLO HARBOUR,30,21,9,OPEN,Portobello Harbour,53.3304,-6.26516
35,2023-12-01 00:00:03,2023-11-30 23:52:39,SMITHFIELD,30,23,7,OPEN,Smithfield,53.3477,-6.27821
36,2023-12-01 00:00:03,2023-11-30 23:57:31,ST. STEPHEN'S GREEN EAST,40,39,1,OPEN,St. Stephen's Green East,53.3378,-6.25603
37,2023-12-01 00:00:03,2023-11-30 23:58:06,ST. STEPHEN'S GREEN SOUTH,30,30,0,OPEN,St. Stephen's Green South,53.3375,-6.26199
38,2023-12-01 00:00:03,2023-11-30 23:51:06,TALBOT STREET,40,0,40,OPEN,Talbot Street,53.351,-6.25294
39,2023-12-01 00:00:03,2023-11-30 23:52:22,WILTON TERRACE,20,20,0,OPEN,Wilton Terrace,53.3324,-6.25272
40,2023-12-01 00:00:03,2023-11-30 23:52:25,JERVIS STREET,21,21,0,OPEN,Jervis Street,53.3483,-6.26665
41,2023-12-01 00:00:03,2023-11-30 23:57:48,HARCOURT TERRACE,20,15,5,OPEN,Harcourt Terrace,53.3328,-6.25794
42,2023-12-01 00:00:03,2023-11-30 23:59:31,SMITHFIELD NORTH,30,26,4,OPEN,Smithfield North,53.3496,-6.2782
43,2023-12-01 00:00:03,2023-11-30 23:51:09,PORTOBELLO ROAD,30,13,17,OPEN,Portobello Road,53.3301,-6.26804
44,2023-12-01 00:00:03,2023-11-30 23:56:03,UPPER SHERRARD STREET,30,9,21,OPEN,Upper Sherrard Street,53.3584,-6.26064
45,2023-12-01 00:00:03,2023-11-30 23:51:50,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527
47,2023-12-01 00:00:03,2023-11-30 23:58:39,HERBERT STREET,40,37,3,OPEN,Herbert Street,53.3357,-6.24551
48,2023-12-01 00:00:03,2023-11-30 23:59:44,EXCISE WALK,40,32,8,OPEN,Excise Walk,53.3478,-6.24424
49,2023-12-01 00:00:03,2023-11-30 23:53:12,GUILD STREET,40,3,37,OPEN,Guild Street,53.3479,-6.24093
50,2023-12-01 00:00:03,2023-11-30 23:57:30,GEORGES LANE,40,24,16,OPEN,George's Lane,53.3502,-6.2797
51,2023-12-01 00:00:03,2023-11-30 23:56:45,YORK STREET WEST,40,36,4,OPEN,York Street West,53.3393,-6.2647
52,2023-12-01 00:00:03,2023-11-30 23:50:31,YORK STREET EAST,32,32,0,OPEN,York Street East,53.3388,-6.262
53,2023-12-01 00:00:03,2023-11-30 23:59:17,NEWMAN HOUSE,40,40,0,OPEN,Newman House,53.3371,-6.26059
54,2023-12-01 00:00:03,2023-11-30 23:50:35,CLONMEL STREET,33,26,7,OPEN,Clonmel Street,53.336,-6.26298
55,2023-12-01 00:00:03,2023-11-30 23:51:28,HATCH STREET,36,36,0,OPEN,Hatch Street,53.334,-6.26071
56,2023-12-01 00:00:03,2023-11-30 23:55:43,MOUNT STREET LOWER,40,30,10,OPEN,Mount Street Lower,53.338,-6.24153
57,2023-12-01 00:00:03,2023-11-30 23:58:54,GRATTAN STREET,23,4,19,OPEN,Grattan Street,53.3396,-6.24378
58,2023-12-01 00:00:03,2023-11-30 23:52:04,SIR PATRICK DUN'S,40,38,2,OPEN,Sir Patrick's Dun,53.3392,-6.24064
59,2023-12-01 00:00:03,2023-11-30 23:50:36,DENMARK STREET GREAT,20,12,8,OPEN,Denmark Street Great,53.3556,-6.2614
60,2023-12-01 00:00:03,2023-11-30 23:54:54,NORTH CIRCULAR ROAD,30,5,25,OPEN,North Circular Road,53.3596,-6.26035
61,2023-12-01 00:00:03,2023-11-30 23:56:50,HARDWICKE PLACE,25,25,0,OPEN,Hardwicke Place,53.357,-6.26323
62,2023-12-01 00:00:03,2023-11-30 23:59:04,LIME STREET,40,22,18,OPEN,Lime Street,53.346,-6.24358
63,2023-12-01 00:00:03,2023-11-30 23:55:51,FENIAN STREET,35,26,9,OPEN,Fenian Street,53.3414,-6.24672
64,2023-12-01 00:00:03,2023-11-30 23:51:11,SANDWITH STREET,40,27,13,OPEN,Sandwith Street,53.3452,-6.24716
65,2023-12-01 00:00:03,2023-11-30 23:54:22,CONVENTION CENTRE,40,31,9,OPEN,Convention Centre,53.3474,-6.23852
66,2023-12-01 00:00:03,2023-11-30 23:55:59,NEW CENTRAL BANK,40,32,8,OPEN,New Central Bank,53.3471,-6.23475
67,2023-12-01 00:00:03,2023-11-30 23:51:02,THE POINT,40,21,19,OPEN,The Point,53.3469,-6.23085
68,2023-12-01 00:00:03,2023-11-30 23:55:11,HANOVER QUAY,40,36,4,OPEN,Hanover Quay,53.3441,-6.23715
69,2023-12-01 00:00:03,2023-11-30 23:56:52,GRAND CANAL DOCK,40,13,27,OPEN,Grand Canal Dock,53.3426,-6.2387
71,2023-12-01 00:00:03,2023-11-30 23:58:44,KEVIN STREET,40,25,15,OPEN,Kevin Street,53.3378,-6.2677
72,2023-12-01 00:00:03,2023-11-30 23:53:34,JOHN STREET WEST,31,27,4,OPEN,John Street West,53.3431,-6.27717
73,2023-12-01 00:00:03,2023-11-30 23:59:31,FRANCIS STREET,30,24,6,OPEN,Francis Street,53.3421,-6.27523
74,2023-12-01 00:00:03,2023-11-30 23:51:06,OLIVER BOND STREET,30,28,2,OPEN,Oliver Bond Street,53.3439,-6.28053
75,2023-12-01 00:00:03,2023-11-30 23:51:41,JAMES STREET,40,36,4,OPEN,James Street,53.3435,-6.28741
76,2023-12-01 00:00:03,2023-11-30 23:57:28,MARKET STREET SOUTH,38,26,12,OPEN,Market Street South,53.3423,-6.28766
77,2023-12-01 00:00:03,2023-11-30 23:58:45,WOLFE TONE STREET,29,29,0,OPEN,Wolfe Tone Street,53.3489,-6.26746
78,2023-12-01 00:00:03,2023-11-30 23:49:46,MATER HOSPITAL,40,19,21,OPEN,Mater Hospital,53.36,-6.26483
79,2023-12-01 00:00:03,2023-11-30 23:49:46,ECCLES STREET EAST,27,24,3,OPEN,Eccles Street East,53.3581,-6.2656
80,2023-12-01 00:00:03,2023-11-30 23:54:01,ST JAMES HOSPITAL (LUAS),40,19,20,OPEN,St James Hospital (Luas),53.3414,-6.29295
82,2023-12-01 00:00:03,2023-11-30 23:57:37,MOUNT BROWN,22,18,4,OPEN,Mount Brown,53.3416,-6.29719
83,2023-12-01 00:00:03,2023-11-30 23:58:52,EMMET ROAD,40,13,17,OPEN,Emmet Road,53.3407,-6.30819
84,2023-12-01 00:00:03,2023-11-30 23:59:45,BROOKFIELD ROAD,30,24,6,OPEN,Brookfield Road,53.339,-6.30022
85,2023-12-01 00:00:03,2023-11-30 23:51:26,ROTHE ABBEY,35,22,13,OPEN,Rothe Abbey,53.3388,-6.30395
86,2023-12-01 00:00:03,2023-11-30 23:57:54,PARKGATE STREET,38,0,38,OPEN,Parkgate Street,53.348,-6.2918
87,2023-12-01 00:00:03,2023-11-30 23:58:48,COLLINS BARRACKS MUSEUM,38,22,16,OPEN,Collins Barracks Museum,53.3475,-6.28525
88,2023-12-01 00:00:03,2023-11-30 23:57:10,BLACKHALL PLACE,30,21,9,OPEN,Blackhall Place,53.3488,-6.28164
89,2023-12-01 00:00:03,2023-11-30 23:52:46,FITZWILLIAM SQUARE EAST,40,40,0,OPEN,Fitzwilliam Square East,53.3352,-6.2509
90,2023-12-01 00:00:03,2023-11-30 23:57:11,BENSON STREET,40,40,0,OPEN,Benson Street,53.3442,-6.23345
91,2023-12-01 00:00:03,2023-11-30 23:58:56,SOUTH DOCK ROAD,30,0,30,OPEN,South Dock Road,53.3418,-6.23129
92,2023-12-01 00:00:03,2023-11-30 23:59:17,HEUSTON BRIDGE (NORTH),40,1,39,OPEN,Heuston Bridge (North),53.3478,-6.29243
93,2023-12-01 00:00:03,2023-11-30 23:50:29,HEUSTON STATION (CENTRAL),40,0,40,OPEN,Heuston Station (Central),53.3466,-6.29692
94,2023-12-01 00:00:03,2023-11-30 23:59:33,HEUSTON STATION (CAR PARK),40,9,31,OPEN,Heuston Station (Car Park),53.347,-6.2978
95,2023-12-01 00:00:03,2023-11-30 23:55:20,ROYAL HOSPITAL,40,5,35,OPEN,Royal Hospital,53.3439,-6.29706
96,2023-12-01 00:00:03,2023-11-30 23:56:35,KILMAINHAM LANE,30,12,18,OPEN,Kilmainham Lane,53.3418,-6.30509
97,2023-12-01 00:00:03,2023-11-30 23:59:03,KILMAINHAM GAOL,40,23,17,OPEN,Kilmainham Gaol,53.3421,-6.31002
98,2023-12-01 00:00:03,2023-11-30 23:53:46,FREDERICK STREET SOUTH,40,32,8,OPEN,Frederick Street South,53.3415,-6.25685
99,2023-12-01 00:00:03,2023-11-30 23:50:22,CITY QUAY,30,23,7,OPEN,City Quay,53.3466,-6.24615
100,2023-12-01 00:00:03,2023-11-30 23:54:00,HEUSTON BRIDGE (SOUTH),25,0,25,OPEN,Heuston Bridge (South),53.3471,-6.29204
101,2023-12-01 00:00:03,2023-11-30 23:57:56,KING STREET NORTH,30,26,4,OPEN,King Street North,53.3503,-6.27351
102,2023-12-01 00:00:03,2023-11-30 23:58:13,WESTERN WAY,40,38,2,OPEN,Western Way,53.3549,-6.26942
103,2023-12-01 00:00:03,2023-11-30 23:59:11,GRANGEGORMAN LOWER (SOUTH),40,40,0,OPEN,Grangegorman Lower (South),53.3547,-6.27868
104,2023-12-01 00:00:03,2023-11-30 23:59:23,GRANGEGORMAN LOWER (CENTRAL),40,40,0,OPEN,Grangegorman Lower (Central),53.3552,-6.27842
105,2023-12-01 00:00:03,2023-11-30 23:51:14,GRANGEGORMAN LOWER (NORTH),36,29,7,OPEN,Grangegorman Lower (North),53.356,-6.27838
106,2023-12-01 00:00:03,2023-11-30 23:57:32,RATHDOWN ROAD,40,13,27,OPEN,Rathdown Road,53.3589,-6.28034
107,2023-12-01 00:00:03,2023-11-30 23:58:37,CHARLEVILLE ROAD,40,26,14,OPEN,Charleville Road,53.3592,-6.28187
108,2023-12-01 00:00:03,2023-11-30 23:59:41,AVONDALE ROAD,35,22,13,OPEN,Avondale Road,53.3594,-6.27614
109,2023-12-01 00:00:03,2023-11-30 23:51:13,BUCKINGHAM STREET LOWER,29,0,29,OPEN,Buckingham Street Lower,53.3533,-6.24932
110,2023-12-01 00:00:03,2023-11-30 23:51:08,PHIBSBOROUGH ROAD,40,35,5,OPEN,Phibsborough Road,53.3563,-6.27372
111,2023-12-01 00:00:03,2023-11-30 23:56:25,MOUNTJOY SQUARE EAST,40,19,21,OPEN,Mountjoy Square East,53.3567,-6.25636
112,2023-12-01 00:00:03,2023-11-30 23:50:50,NORTH CIRCULAR ROAD (O'CONNELL'S),30,0,30,OPEN,North Circular Road (O'Connell's),53.3578,-6.25156
113,2023-12-01 00:00:03,2023-11-30 23:59:05,MERRION SQUARE SOUTH,40,19,19,OPEN,Merrion Square South,53.3386,-6.24861
114,2023-12-01 00:00:03,2023-11-30 23:51:02,WILTON TERRACE (PARK),40,38,2,OPEN,Wilton Terrace (Park),53.3337,-6.24834
115,2023-12-01 00:00:03,2023-11-30 23:52:50,KILLARNEY STREET,30,0,30,OPEN,Killarney Street,53.3548,-6.24758
116,2023-12-01 00:00:03,2023-11-30 23:56:46,BROADSTONE,30,27,3,OPEN,Broadstone,53.3547,-6.27231
117,2023-12-01 00:00:03,2023-11-30 23:58:45,HANOVER QUAY EAST,40,26,14,OPEN,Hanover Quay East,53.3437,-6.23175
1,2023-12-01 00:30:02,2023-12-01 00:28:30,CLARENDON ROW,31,31,0,OPEN,Clarendon Row,53.3409,-6.2625
2,2023-12-01 00:30:02,2023-12-01 00:29:07,BLESSINGTON STREET,20,14,6,OPEN,Blessington Street,53.3568,-6.26814
3,2023-12-01 00:30:02,2023-12-01 00:21:25,BOLTON STREET,20,11,8,OPEN,Bolton Street,53.3512,-6.26986
4,2023-12-01 00:30:02,2023-12-01 00:20:36,GREEK STREET,20,11,9,OPEN,Greek Street,53.3469,-6.27298
5,2023-12-01 00:30:02,2023-12-01 00:27:39,CHARLEMONT PLACE,40,3,37,OPEN,Charlemont Street,53.3307,-6.26018
6,2023-12-01 00:30:02,2023-12-01 00:29:21,CHRISTCHURCH PLACE,20,15,5,OPEN,Christchurch Place,53.3434,-6.27012
7,2023-12-01 00:30:02,2023-12-01 00:28:40,HIGH STREET,29,23,6,OPEN,High Street,53.3436,-6.27507
8,2023-12-01 00:30:02,2023-12-01 00:27:59,CUSTOM HOUSE QUAY,30,1,29,OPEN,Custom House Quay,53.3479,-6.24805
9,2023-12-01 00:30:02,2023-12-01 00:29:02,EXCHEQUER STREET,24,21,3,OPEN,Exchequer Street,53.343,-6.26358
10,2023-12-01 00:30:02,2023-12-01 00:21:39,DAME STREET,16,3,13,OPEN,Dame Street,53.344,-6.2668
11,2023-12-01 00:30:02,2023-12-01 00:28:18,EARLSFORT TERRACE,30,30,0,OPEN,Earlsfort Terrace,53.3343,-6.2585
12,2023-12-01 00:30:02,2023-12-01 00:28:08,ECCLES STREET,20,15,5,OPEN,Eccles Street,53.3592,-6.26978
13,2023-12-01 00:30:02,2023-12-01 00:29:31,FITZWILLIAM SQUARE WEST,30,28,1,OPEN,Fitzwilliam Square West,53.3361,-6.25282
14,2023-12-01 00:30:02,2023-12-01 00:22:30,FOWNES STREET UPPER,30,21,9,OPEN,Fownes Street Upper,53.3446,-6.26337
15,2023-12-01 00:30:02,2023-12-01 00:24:39,HARDWICKE STREET,16,12,4,OPEN,Hardwicke Street,53.3555,-6.26442
16,2023-12-01 00:30:02,2023-12-01 00:28:02,GEORGES QUAY,20,2,18,OPEN,Georges Quay,53.3475,-6.25219
17,2023-12-01 00:30:02,2023-12-01 00:21:18,GOLDEN LANE,20,14,6,OPEN,Golden Lane,53.3408,-6.26773
18,2023-12-01 00:30:02,2023-12-01 00:29:41,GRANTHAM STREET,30,24,5,OPEN,Grantham Street,53.3341,-6.26544
19,2023-12-01 00:30:02,2023-12-01 00:25:16,HERBERT PLACE,30,29,1,OPEN,Herbert Place,53.3344,-6.24557
20,2023-12-01 00:30:02,2023-12-01 00:20:13,JAMES STREET EAST,30,30,0,OPEN,James Street East,53.3366,-6.24811
21,2023-12-01 00:30:02,2023-12-01 00:28:52,LEINSTER STREET SOUTH,30,12,18,OPEN,Leinster Street South,53.3422,-6.25449
22,2023-12-01 00:30:02,2023-12-01 00:21:24,TOWNSEND STREET,20,14,6,OPEN,Townsend Street,53.3459,-6.25461
23,2023-12-01 00:30:02,2023-12-01 00:27:16,CUSTOM HOUSE,30,4,26,OPEN,Custom House,53.3483,-6.25466
24,2023-12-01 00:30:02,2023-12-01 00:22:05,CATHAL BRUGHA STREET,20,0,20,OPEN,Cathal Brugha Street,53.3521,-6.26053
25,2023-12-01 00:30:02,2023-12-01 00:21:59,MERRION SQUARE EAST,30,13,17,OPEN,Merrion Square East,53.3394,-6.24655
26,2023-12-01 00:30:02,2023-12-01 00:28:42,MERRION SQUARE WEST,20,14,6,OPEN,Merrion Square West,53.3398,-6.25199
27,2023-12-01 00:30:02,2023-12-01 00:28:31,MOLESWORTH STREET,20,15,4,OPEN,Molesworth Street,53.3413,-6.25812
28,2023-12-01 00:30:02,2023-12-01 00:21:04,MOUNTJOY SQUARE WEST,30,16,14,OPEN,Mountjoy Square West,53.3563,-6.25859
29,2023-12-01 00:30:02,2023-12-01 00:21:42,ORMOND QUAY UPPER,29,11,17,OPEN,Ormond Quay Upper,53.3461,-6.268
30,2023-12-01 00:30:02,2023-12-01 00:21:59,PARNELL SQUARE NORTH,20,19,1,OPEN,Parnell Square North,53.3535,-6.26531
31,2023-12-01 00:30:02,2023-12-01 00:28:24,PARNELL STREET,20,11,9,OPEN,Parnell Street,53.3509,-6.26512
32,2023-12-01 00:30:02,2023-12-01 00:20:36,PEARSE STREET,30,13,17,OPEN,Pearse Street,53.3443,-6.25043
33,2023-12-01 00:30:02,2023-12-01 00:23:34,PRINCES STREET / O'CONNELL STREET,23,8,15,OPEN,Princes Street / O'Connell Street,53.349,-6.26031
34,2023-12-01 00:30:02,2023-12-01 00:24:18,PORTOBELLO HARBOUR,30,19,11,OPEN,Portobello Harbour,53.3304,-6.26516
35,2023-12-01 00:30:02,2023-12-01 00:22:57,SMITHFIELD,30,21,9,OPEN,Smithfield,53.3477,-6.27821
36,2023-12-01 00:30:02,2023-12-01 00:27:47,ST. STEPHEN'S GREEN EAST,40,39,1,OPEN,St. Stephen's Green East,53.3378,-6.25603
37,2023-12-01 00:30:02,2023-12-01 00:28:22,ST. STEPHEN'S GREEN SOUTH,30,30,0,OPEN,St. Stephen's Green South,53.3375,-6.26199
38,2023-12-01 00:30:02,2023-12-01 00:21:24,TALBOT STREET,40,1,39,OPEN,Talbot Street,53.351,-6.25294
39,2023-12-01 00:30:02,2023-12-01 00:22:39,WILTON TERRACE,20,20,0,OPEN,Wilton Terrace,53.3324,-6.25272
40,2023-12-01 00:30:02,2023-12-01 00:22:40,JERVIS STREET,21,21,0,OPEN,Jervis Street,53.3483,-6.26665
41,2023-12-01 00:30:02,2023-12-01 00:28:04,HARCOURT TERRACE,20,15,5,OPEN,Harcourt Terrace,53.3328,-6.25794
42,2023-12-01 00:30:02,2023-12-01 00:29:47,SMITHFIELD NORTH,30,25,5,OPEN,Smithfield North,53.3496,-6.2782
43,2023-12-01 00:30:02,2023-12-01 00:21:26,PORTOBELLO ROAD,30,11,19,OPEN,Portobello Road,53.3301,-6.26804
44,2023-12-01 00:30:02,2023-12-01 00:21:22,UPPER SHERRARD STREET,30,9,21,OPEN,Upper Sherrard Street,53.3584,-6.26064
45,2023-12-01 00:30:02,2023-12-01 00:22:06,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527
47,2023-12-01 00:30:02,2023-12-01 00:28:55,HERBERT STREET,40,37,3,OPEN,Herbert Street,53.3357,-6.24551
48,2023-12-01 00:30:02,2023-12-01 00:19:55,EXCISE WALK,40,31,9,OPEN,Excise Walk,53.3478,-6.24424
49,2023-12-01 00:30:02,2023-12-01 00:23:30,GUILD STREET,40,3,37,OPEN,Guild Street,53.3479,-6.24093
50,2023-12-01 00:30:02,2023-12-01 00:27:46,GEORGES LANE,40,23,17,OPEN,George's Lane,53.3502,-6.2797
51,2023-12-01 00:30:02,2023-12-01 00:27:04,YORK STREET WEST,40,38,2,OPEN,York Street West,53.3393,-6.2647
52,2023-12-01 00:30:02,2023-12-01 00:28:02,YORK STREET EAST,32,31,0,OPEN,York Street East,53.3388,-6.262
53,2023-12-01 00:30:02,2023-12-01 00:29:33,NEWMAN HOUSE,40,40,0,OPEN,Newman House,53.3371,-6.26059
54,2023-12-01 00:30:02,2023-12-01 00:27:14,CLONMEL STREET,33,31,2,OPEN,Clonmel Street,53.336,-6.26298
55,2023-12-01 00:30:02,2023-12-01 00:21:44,HATCH STREET,36,36,0,OPEN,Hatch Street,53.334,-6.26071
56,2023-12-01 00:30:02,2023-12-01 00:23:09,MOUNT STREET LOWER,40,31,9,OPEN,Mount Street Lower,53.338,-6.24153
57,2023-12-01 00:30:02,2023-12-01 00:29:11,GRATTAN STREET,23,4,19,OPEN,Grattan Street,53.3396,-6.24378
58,2023-12-01 00:30:02,2023-12-01 00:22:23,SIR PATRICK DUN'S,40,40,0,OPEN,Sir Patrick's Dun,53.3392,-6.24064
59,2023-12-01 00:30:02,2023-12-01 00:20:55,DENMARK STREET GREAT,20,13,7,OPEN,Denmark Street Great,53.3556,-6.2614
60,2023-12-01 00:30:02,2023-12-01 00:24:00,NORTH CIRCULAR ROAD,30,4,26,OPEN,North Circular Road,53.3596,-6.26035
61,2023-12-01 00:30:02,2023-12-01 00:27:06,HARDWICKE PLACE,25,25,0,OPEN,Hardwicke Place,53.357,-6.26323
62,2023-12-01 00:30:02,2023-12-01 00:29:22,LIME STREET,40,22,18,OPEN,Lime Street,53.346,-6.24358
63,2023-12-01 00:30:02,2023-12-01 00:21:55,FENIAN STREET,35,25,10,OPEN,Fenian Street,53.3414,-6.24672
64,2023-12-01 00:30:02,2023-12-01 00:21:26,SANDWITH STREET,40,26,14,OPEN,Sandwith Street,53.3452,-6.24716
65,2023-12-01 00:30:02,2023-12-01 00:28:36,CONVENTION CENTRE,40,31,9,OPEN,Convention Centre,53.3474,-6.23852
66,2023-12-01 00:30:02,2023-12-01 00:26:16,NEW CENTRAL BANK,40,31,9,OPEN,New Central Bank,53.3471,-6.23475
67,2023-12-01 00:30:02,2023-12-01 00:21:19,THE POINT,40,20,20,OPEN,The Point,53.3469,-6.23085
68,2023-12-01 00:30:02,2023-12-01 00:22:41,HANOVER QUAY,40,36,4,OPEN,Hanover Quay,53.3441,-6.23715
69,2023-12-01 00:30:02,2023-12-01 00:25:37,GRAND CANAL DOCK,40,10,30,OPEN,Grand Canal Dock,53.3426,-6.2387
71,2023-12-01 00:30:02,2023-12-01 00:29:05,KEVIN STREET,40,23,17,OPEN,Kevin Street,53.3378,-6.2677
72,2023-12-01 00:30:02,2023-12-01 00:23:50,JOHN STREET WEST,31,27,4,OPEN,John Street West,53.3431,-6.27717
73,2023-12-01 00:30:02,2023-12-01 00:28:19,FRANCIS STREET,30,24,6,OPEN,Francis Street,53.3421,-6.27523
74,2023-12-01 00:30:02,2023-12-01 00:21:24,OLIVER BOND STREET,30,27,3,OPEN,Oliver Bond Street,53.3439,-6.28053
75,2023-12-01 00:30:02,2023-12-01 00:21:58,JAMES STREET,40,35,5,OPEN,James Street,53.3435,-6.28741
76,2023-12-01 00:30:02,2023-12-01 00:27:45,MARKET STREET SOUTH,38,27,11,OPEN,Market Street South,53.3423,-6.28766
77,2023-12-01 00:30:02,2023-12-01 00:29:03,WOLFE TONE STREET,29,28,1,OPEN,Wolfe Tone Street,53.3489,-6.26746
78,2023-12-01 00:30:02,2023-12-01 00:20:02,MATER HOSPITAL,40,18,22,OPEN,Mater Hospital,53.36,-6.26483
79,2023-12-01 00:30:02,2023-12-01 00:20:04,ECCLES STREET EAST,27,25,2,OPEN,Eccles Street East,53.3581,-6.2656
80,2023-12-01 00:30:02,2023-12-01 00:24:20,ST JAMES HOSPITAL (LUAS),40,19,20,OPEN,St James Hospital (Luas),53.3414,-6.29295
82,2023-12-01 00:30:02,2023-12-01 00:27:53,MOUNT BROWN,22,17,5,OPEN,Mount Brown,53.3416,-6.29719
83,2023-12-01 00:30:02,2023-12-01 00:29:12,EMMET ROAD,40,14,16,OPEN,Emmet Road,53.3407,-6.30819
84,2023-12-01 00:30:02,2023-12-01 00:19:55,BROOKFIELD ROAD,30,24,6,OPEN,Brookfield Road,53.339,-6.30022
85,2023-12-01 00:30:02,2023-12-01 00:21:43,ROTHE ABBEY,35,21,14,OPEN,Rothe Abbey,53.3388,-6.30395
86,2023-12-01 00:30:02,2023-12-01 00:28:50,PARKGATE STREET,38,1,37,OPEN,Parkgate Street,53.348,-6.2918
87,2023-12-01 00:30:02,2023-12-01 00:29:04,COLLINS BARRACKS MUSEUM,38,22,16,OPEN,Collins Barracks Museum,53.3475,-6.28525
